"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1927-12","40","-0.71","-1.66","-28.35"
"1928-12","1936-04","48","-0.78","-1.82","-37.44"
"1940-04","1946-12","57","-0.5","-1.14","-28.48"
"1947-01","1948-11","22","-0.48","-1.23","-10.56"
"1949-03","1950-11","20","-0.55","-1.4","-11.07"
"1951-12","1954-12","24","-0.91","-1.72","-21.73"
"1960-01","1963-07","30","-0.81","-1.72","-24.33"
"1963-08","1977-07","86","-0.5","-1.74","-43.17"
"1977-11","1978-11","12","-0.54","-1.06","-6.44"
"1981-04","1982-03","11","-1.01","-1.48","-11.09"
"1983-03","1985-09","27","-0.49","-1.1","-13.19"
"1992-03","2002-09","86","-0.74","-1.95","-63.67"
"2002-10","2004-03","17","-1.24","-1.73","-21.09"
"2005-04","2014-10","113","-1.17","-2.27","-132.62"
"2015-01","2019-12","28","-0.38","-0.92","-10.58"
